Asset,Decision,ReStory fit / office role,Triangles,UVs,Material variants needed
Assets/3DreaMax Studio/036_Retro Office Props Pack Vol-1/Prefabs/URP/PF_Book_V1.prefab,Conditional,Fixed text/art requires replacement or runtime localisation; avoid duplicate narrative clutter,88,True,M_Office_Accessories V2
Assets/3DreaMax Studio/036_Retro Office Props Pack Vol-1/Prefabs/URP/PF_Book_V2.prefab,Conditional,Fixed text/art requires replacement or runtime localisation; avoid duplicate narrative clutter,72,True,M_Office_Accessories V2
Assets/3DreaMax Studio/036_Retro Office Props Pack Vol-1/Prefabs/URP/PF_Calculator.prefab,Selected,Administration / Clerk desk; use shared painted material treatment and measured placement,458,True,M_Calculator
Assets/3DreaMax Studio/036_Retro Office Props Pack Vol-1/Prefabs/URP/PF_Calendar.prefab,Not selected,"Conflicts with current functional-office scope, digital clock, or removal of historical clutter",2723,True,M_Office_Accessories V2
Assets/3DreaMax Studio/036_Retro Office Props Pack Vol-1/Prefabs/URP/PF_Ceiling_Fan.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,2024,True,M_Ceiling_Fan
Assets/3DreaMax Studio/036_Retro Office Props Pack Vol-1/Prefabs/URP/PF_Ceiling_Fan_V1.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,1676,True,M_Ceiling_Fan
Assets/3DreaMax Studio/036_Retro Office Props Pack Vol-1/Prefabs/URP/PF_Clip_Board.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",586,True,M_Table_Accessories
Assets/3DreaMax Studio/036_Retro Office Props Pack Vol-1/Prefabs/URP/PF_Cutter_Knife.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",397,True,M_Table_Accessories
Assets/3DreaMax Studio/036_Retro Office Props Pack Vol-1/Prefabs/URP/PF_Eraser.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",12,True,M_Table_Accessories
Assets/3DreaMax Studio/036_Retro Office Props Pack Vol-1/Prefabs/URP/PF_FIle_Carton_Box.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",212,True,M_Office_Accessories
Assets/3DreaMax Studio/036_Retro Office Props Pack Vol-1/Prefabs/URP/PF_FIle_Carton_Box_Closed.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",76,True,M_Office_Accessories V2
Assets/3DreaMax Studio/036_Retro Office Props Pack Vol-1/Prefabs/URP/PF_FIle_Carton_Box_Open.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",78,True,M_Office_Accessories V2
Assets/3DreaMax Studio/036_Retro Office Props Pack Vol-1/Prefabs/URP/PF_File_Cabinet_Shelf.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",168,True,M_Cabinate_And_File
Assets/3DreaMax Studio/036_Retro Office Props Pack Vol-1/Prefabs/URP/PF_File_Holder_Rack.prefab,Selected,Clerk desk; use shared painted material treatment and measured placement,108,True,M_Office_Accessories V2
Assets/3DreaMax Studio/036_Retro Office Props Pack Vol-1/Prefabs/URP/PF_File_Open.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",152,True,M_Office_Accessories V2
Assets/3DreaMax Studio/036_Retro Office Props Pack Vol-1/Prefabs/URP/PF_Filing_Cabinet.prefab,Selected,Administration / Technical support; use shared painted material treatment and measured placement,770,True,M_Office_Furniture
Assets/3DreaMax Studio/036_Retro Office Props Pack Vol-1/Prefabs/URP/PF_Landline_Phone.prefab,Selected,Administration / Clerk desk / Technical support; use shared painted material treatment and measured placement,5718,True,M_Landline_Phone
Assets/3DreaMax Studio/036_Retro Office Props Pack Vol-1/Prefabs/URP/PF_Newspaper.prefab,Conditional,Fixed text/art requires replacement or runtime localisation; avoid duplicate narrative clutter,182,True,M_Paper
Assets/3DreaMax Studio/036_Retro Office Props Pack Vol-1/Prefabs/URP/PF_Note_Book.prefab,Conditional,Fixed text/art requires replacement or runtime localisation; avoid duplicate narrative clutter,1008,True,M_Table_Accessories
Assets/3DreaMax Studio/036_Retro Office Props Pack Vol-1/Prefabs/URP/PF_Notice_Board.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",472,True,M_Office_Accessories; M_Paper
Assets/3DreaMax Studio/036_Retro Office Props Pack Vol-1/Prefabs/URP/PF_Office_File.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",968,True,M_Office_Accessories V2
Assets/3DreaMax Studio/036_Retro Office Props Pack Vol-1/Prefabs/URP/PF_Office_File_V2.prefab,Selected,Clerk desk; use shared painted material treatment and measured placement,484,True,M_Cabinate_And_File
Assets/3DreaMax Studio/036_Retro Office Props Pack Vol-1/Prefabs/URP/PF_Office_Table.prefab,Selected,Administration / Waiting area; use shared painted material treatment and measured placement,690,True,M_Office_Furniture
Assets/3DreaMax Studio/036_Retro Office Props Pack Vol-1/Prefabs/URP/PF_Old_Briefcase_Closed.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",1836,True,M_Office_Accessories V2
Assets/3DreaMax Studio/036_Retro Office Props Pack Vol-1/Prefabs/URP/PF_Old_Briefcase_Open.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",1836,True,M_Office_Accessories V2
Assets/3DreaMax Studio/036_Retro Office Props Pack Vol-1/Prefabs/URP/PF_Old_Computer.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",9993,True,M_Classic_Keyboard; M_CRT_Monitor; M_Old_CPU; M_Retro_Mouse
Assets/3DreaMax Studio/036_Retro Office Props Pack Vol-1/Prefabs/URP/PF_Paper_Ball.prefab,Selected,Administration; use shared painted material treatment and measured placement,128,True,M_Paper
Assets/3DreaMax Studio/036_Retro Office Props Pack Vol-1/Prefabs/URP/PF_Paper_Roll.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",40,True,M_Paper
Assets/3DreaMax Studio/036_Retro Office Props Pack Vol-1/Prefabs/URP/PF_Paper_Stack_V1.prefab,Selected,Administration / Clerk desk / Waiting area; use shared painted material treatment and measured placement,154,True,M_Paper
Assets/3DreaMax Studio/036_Retro Office Props Pack Vol-1/Prefabs/URP/PF_Paper_Stack_V2.prefab,Selected,Administration / Technical support; use shared painted material treatment and measured placement,144,True,M_Paper
Assets/3DreaMax Studio/036_Retro Office Props Pack Vol-1/Prefabs/URP/PF_Paper_Tray.prefab,Selected,Administration; use shared painted material treatment and measured placement,60,True,M_Office_Accessories V2
Assets/3DreaMax Studio/036_Retro Office Props Pack Vol-1/Prefabs/URP/PF_Paper_V1.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",2,True,M_Paper
Assets/3DreaMax Studio/036_Retro Office Props Pack Vol-1/Prefabs/URP/PF_Paper_V2.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",32,True,M_Paper
Assets/3DreaMax Studio/036_Retro Office Props Pack Vol-1/Prefabs/URP/PF_Paper_V3.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",12,True,M_Paper
Assets/3DreaMax Studio/036_Retro Office Props Pack Vol-1/Prefabs/URP/PF_Paper_V4.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",2,True,M_Paper
Assets/3DreaMax Studio/036_Retro Office Props Pack Vol-1/Prefabs/URP/PF_Partition_V1.prefab,Selected,Administration / Waiting area; use shared painted material treatment and measured placement,60,True,M_Partition
Assets/3DreaMax Studio/036_Retro Office Props Pack Vol-1/Prefabs/URP/PF_Partition_V2.prefab,Selected,Administration; use shared painted material treatment and measured placement,60,True,M_Partition
Assets/3DreaMax Studio/036_Retro Office Props Pack Vol-1/Prefabs/URP/PF_Partition_V3.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",180,True,M_Partition
Assets/3DreaMax Studio/036_Retro Office Props Pack Vol-1/Prefabs/URP/PF_Pen.prefab,Selected,Clerk desk; use shared painted material treatment and measured placement,376,True,M_Table_Accessories
Assets/3DreaMax Studio/036_Retro Office Props Pack Vol-1/Prefabs/URP/PF_Pen_Holder.prefab,Selected,Waiting area; use shared painted material treatment and measured placement,428,True,M_Table_Accessories
Assets/3DreaMax Studio/036_Retro Office Props Pack Vol-1/Prefabs/URP/PF_Pencil.prefab,Selected,Waiting area; use shared painted material treatment and measured placement,126,True,M_Table_Accessories
Assets/3DreaMax Studio/036_Retro Office Props Pack Vol-1/Prefabs/URP/PF_Retro_Chair.prefab,Selected,Administration / Technical support; use shared painted material treatment and measured placement,3452,True,M_Office_Furniture
Assets/3DreaMax Studio/036_Retro Office Props Pack Vol-1/Prefabs/URP/PF_Sticky_Note.prefab,Selected,Clerk desk / Waiting area; use shared painted material treatment and measured placement,122,True,M_Table_Accessories
Assets/3DreaMax Studio/036_Retro Office Props Pack Vol-1/Prefabs/URP/PF_Sticky_Note_V1.prefab,Conditional,Fixed text/art requires replacement or runtime localisation; avoid duplicate narrative clutter,10,True,M_Table_Accessories
Assets/3DreaMax Studio/036_Retro Office Props Pack Vol-1/Prefabs/URP/PF_Table_Lamp.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",2654,True,M_Office_Accessories V2
Assets/3DreaMax Studio/036_Retro Office Props Pack Vol-1/Prefabs/URP/PF_Terrestrial_Glob.prefab,Not selected,"Conflicts with current functional-office scope, digital clock, or removal of historical clutter",1210,True,M_Office_Accessories
Assets/3DreaMax Studio/036_Retro Office Props Pack Vol-1/Prefabs/URP/PF_Tube_Light.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",188,True,M_Office_Accessories
Assets/3DreaMax Studio/036_Retro Office Props Pack Vol-1/Prefabs/URP/PF_Vintage_Cell_Phone.prefab,Selected,Administration; use shared painted material treatment and measured placement,1542,True,M_Vintage_Cell_Phone
Assets/3DreaMax Studio/036_Retro Office Props Pack Vol-1/Prefabs/URP/PF_Wall_Clock.prefab,Not selected,"Conflicts with current functional-office scope, digital clock, or removal of historical clutter",664,True,M_Glass; M_Office_Accessories V2
Assets/3DreaMax Studio/036_Retro Office Props Pack Vol-1/Prefabs/URP/PF_Waste_Bin.prefab,Selected,Administration / Waiting area; use shared painted material treatment and measured placement,378,True,M_Office_Accessories V2; M_Office_Accessories V2_AlphaClipping
Assets/3DreaMax Studio/036_Retro Office Props Pack Vol-1/Prefabs/URP/PF_White_Board.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",44,True,M_Office_Accessories
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Doors/DoorWay_01_Large.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,326,True,HD_Stuff_01_Norm; HD_Wall_05_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Doors/DoorWay_01_Ramp.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,20,True,HD_Wall_05_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Doors/DoorWay_01_Up.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,25,True,HD_Wall_05_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Doors/Door_Left_01.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,626,True,HD_Wall_06_Norm; Glass
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Doors/Door_Right_01.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,814,True,HD_Wall_06_Norm; Glass
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Doors/Door_Vert_01.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,220,True,HD_Stuff_04_Norm; HD_Wall_11_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Doors/Horizontal_Doors_Kit.prefab,Reject standalone,No active render geometry; assembly/container only,0,False,
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Doors/Vertical_Doors_Kit.prefab,Reject standalone,No active render geometry; assembly/container only,0,False,
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Fences/Fence_Angle_02.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",292,True,HD_Stuff_01_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Fences/Fence_Long_01.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",104,True,HD_Stuff_01_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Fences/Fence_Short_01.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",80,True,HD_Stuff_01_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Fences/Fence_Turn_90_Large_01.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",300,True,HD_Stuff_01_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Fences/Fence_Turn_90_Short_01.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",132,True,HD_Stuff_01_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Floors/Floor_Angle_01_6x6.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,8,True,HD_Floor_01_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Floors/Floor_Coin_01_Small.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,2,True,HD_Floor_02_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Floors/Floor_Descent_01.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,216,True,HD_Alpha_02_Norm; HD_Stuff_01_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Floors/Floor_Hole_01.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,72,True,HD_Stuff_01_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Floors/Floor_Pipes_01.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,1136,True,HD_Stuff_01_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Floors/Floor_Squared_01_6x6.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,8,True,HD_Floor_01_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Floors/Floor_Squared_02_6x6.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,1184,True,HD_Alpha_02_Norm; HD_Floor_02_Norm; HD_Stuff_01_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Floors/Floor_Third_01_Strip_2x6.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,4,True,HD_Floor_02_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Floors/Floor_Third_02_Strip_2x6.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,4,True,HD_Floor_02_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Floors/Floor_Third_03_Strip_2x6.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,4,True,HD_Floor_02_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Floors/Floor_Third_04_Strip_2x6.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,26,True,Floor_Third_04_Strip_2x6
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Floors/Room_Floor_3x3.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,1248,True,HD_Alpha_02_Norm; HD_Floor_01_Norm; HD_Floor_02_Norm; HD_Stuff_01_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Lights/Light_Corridor_01.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",134,True,HD_Stuff_01_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Lights/Light_Corridor_02.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",158,True,HD_Stuff_01_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Lights/Light_SideLight_01.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",10,True,HD_Stuff_01_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Lights/Light_SideLight_02.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",10,True,HD_Stuff_01_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Lights/Light_SideLight_03.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",10,True,HD_Stuff_01_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Lights/Light_SideLight_04.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",10,True,HD_Stuff_01_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Lights/Light_SideLight_05.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",10,True,HD_Stuff_01_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Props/Airing_01.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",469,True,HD_Alpha_02_Norm; HD_Stuff_01_Norm; Smoke
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Props/Crate_01.prefab,Selected,Portal service; use shared painted material treatment and measured placement,188,True,HD_Stuff_01_Norm; HD_Stuff_02_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Roofs/Roof_Angle_01_6x6.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,106,True,HD_Floor_01_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Roofs/Roof_Glass_01_6x6.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,192,True,HD_Wall_12_Norm; Glass
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Roofs/Roof_Squared_01_6x6.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,42,True,HD_Floor_01_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Roofs/Roof_Squared_02_6x6.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,8,True,HD_Floor_02_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Stairways/Stairway_Angle_Right_01.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,390,True,HD_Alpha_02_Norm; HD_Stuff_01_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Stairways/Stairway_PillarAngle_01.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,7,True,HD_Stuff_01_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Stairways/Stairway_Plateform_00.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,28,True,HD_Alpha_02_Norm; HD_Stuff_01_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Stairways/Stairway_Plateform_01.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,276,True,HD_Alpha_02_Norm; HD_Stuff_01_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Stairways/Stairway_Plateform_02.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,396,True,HD_Alpha_02_Norm; HD_Stuff_01_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Stairways/Stairway_Plateform_03.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,620,True,HD_Alpha_02_Norm; HD_Stuff_01_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Stairways/Stairway_Plateform_04.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,276,True,HD_Alpha_02_Norm; HD_Stuff_01_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Stairways/Stairway_Plateform_05.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,152,True,HD_Alpha_02_Norm; HD_Stuff_01_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Stairways/Stairway_Plateform_06.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,276,True,HD_Alpha_02_Norm; HD_Stuff_01_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Stairways/Stairway_Plateform_07.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,523,True,HD_Alpha_02_Norm; HD_Stuff_01_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Stairways/Stairway_Plateform_08.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,276,True,HD_Alpha_02_Norm; HD_Stuff_01_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Stairways/Stairway_Plateform_09.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,756,True,HD_Alpha_02_Norm; HD_Stuff_01_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Stairways/Stairway_Plateform_10.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,396,True,HD_Alpha_02_Norm; HD_Stuff_01_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Stairways/Stairway_Plateform_11.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,276,True,HD_Alpha_02_Norm; HD_Stuff_01_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Stairways/Stairway_Slope_45_01.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,276,True,HD_Alpha_02_Norm; HD_Stuff_01_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Stairways/Stairway_Step_01.prefab,Reserve,Architectural alternative; current three-wall window hall and clear portal route retained,16,True,HD_Stuff_01_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Stuff/Air_Grid_01.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",70,True,HD_Stuff_01_Norm; Smoke
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Stuff/Beam_01.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",110,True,HD_Stuff_01_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Stuff/Beam_02.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",118,True,HD_Stuff_01_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Stuff/Beam_03.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",130,True,HD_Stuff_01_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Stuff/Beam_04.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",32,True,HD_Stuff_01_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Stuff/Grid_01.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",36,True,HD_Alpha_02_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Stuff/Intercom_01.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",34,True,HD_Stuff_04_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Stuff/Intercom_02.prefab,Reserve,"Usable supporting shape; not needed in this pass, avoid visual duplication and indiscriminate filler",34,True,HD_Stuff_04_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Stuff/Pipes_01.prefab,Selected,Portal service; use shared painted material treatment and measured placement,2042,True,HD_Stuff_01_Norm
Assets/Creepy_Cat/3D Scifi Kit Starter Kit_HD/Prefabs/Stuff/Pipes_02.prefab,Selected,Portal service; use shared painted material treatment and measured placement,1306,True,HD_Stuff_01_Norm
